NAME                                                                      IMAGE REFERENCE
sha256:00f84620fe25ef1f7ce1f149c5255965484bd3afcba0e53ac168755787626ce4   registry.redhat.io/ubi7/nginx-118@sha256:00f84620fe25ef1f7ce1f149c5255965484bd3afcba0e53ac168755787626ce4
sha256:0155e28b6b10d6fba7144df9ce33105acbab32766836baacc67c76b900a58772   registry.redhat.io/redhat-sso-7/sso70-openshift@sha256:0155e28b6b10d6fba7144df9ce33105acbab32766836baacc67c76b900a58772
sha256:01920073bbd480bd34e2d8e17dced64d342257fa9a263d1843edf1cc45a50a7c   registry.redhat.io/jboss-datagrid-7/datagrid73-openshift@sha256:01920073bbd480bd34e2d8e17dced64d342257fa9a263d1843edf1cc45a50a7c
sha256:01924deddb6850c7d22379f545b640d35be9916336beb1b897fa3ce6bff07af4   registry.redhat.io/rhscl/ruby-26-rhel7@sha256:01924deddb6850c7d22379f545b640d35be9916336beb1b897fa3ce6bff07af4
sha256:03416282b034b93614ab2af74441ce481226bcf0b0b6c614cacd1b6f008f9792   registry.redhat.io/jboss-eap-6/eap64-openshift@sha256:03416282b034b93614ab2af74441ce481226bcf0b0b6c614cacd1b6f008f9792
sha256:04ad3c52ecc11c342512a8d8c72ca04d8ce7d113f7692d61c5e0f05b45b5d164   registry.redhat.io/fuse7/fuse-apicurito-generator@sha256:04ad3c52ecc11c342512a8d8c72ca04d8ce7d113f7692d61c5e0f05b45b5d164
sha256:04d9eea074ce3985cd8da6d7613c2ec8f544b205ba1f43fa59f035e9ef373cf6   registry.redhat.io/fuse7/fuse-console@sha256:04d9eea074ce3985cd8da6d7613c2ec8f544b205ba1f43fa59f035e9ef373cf6
sha256:05ea901100291d89d5e0615e2042f2d6b23e008d6ce0b2b0a55a9a32785fab24   registry.redhat.io/fuse7/fuse-apicurito@sha256:05ea901100291d89d5e0615e2042f2d6b23e008d6ce0b2b0a55a9a32785fab24
sha256:062cf50e4bc1b5dab5603a93a69ce47b81eef39ce5890ef1cb2596ab1f79fcee   registry.redhat.io/jboss-eap-7/eap73-openjdk11-openshift-rhel8@sha256:062cf50e4bc1b5dab5603a93a69ce47b81eef39ce5890ef1cb2596ab1f79fcee
sha256:06bbbf9272d5c5161f444388593e9bd8db793d8a2d95a50b429b3c0301fafcdd   registry.redhat.io/redhat-openjdk-18/openjdk18-openshift@sha256:06bbbf9272d5c5161f444388593e9bd8db793d8a2d95a50b429b3c0301fafcdd
sha256:06cb65373fbe4d293f1fb2478c9c57f2f934cf8b47ae897882df808d88a5add0   quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:06cb65373fbe4d293f1fb2478c9c57f2f934cf8b47ae897882df808d88a5add0
